Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Dymond Simon,PHO,G,8,97,8,0,97,6.7,23.3,.289,1.0,8.3,.125,5.7,15.0,.379,1.0,1.0,1.000,0.5,6.2,7.8,2.1,0.0,7.3,5.2,15.6
Katie Smith*,SEA,G,34,919,34,31,919,4.5,11.0,.412,2.6,6.5,.400,1.9,4.5,.429,1.8,2.2,.838,0.5,5.5,4.3,1.2,0.2,3.0,4.8,13.4
Tangela Smith,SAS,C,15,150,15,0,150,5.2,12.6,.417,1.4,4.9,.286,3.8,7.7,.500,1.0,1.0,1.000,1.0,5.9,4.5,0.7,1.0,2.4,4.2,12.9
Michelle Snow,WAS,C,32,643,32,21,643,6.8,12.9,.523,0.0,0.1,.000,6.8,12.8,.526,2.3,3.0,.778,4.9,14.4,1.6,1.6,2.3,4.4,6.3,15.9
Shekinna Stricklen,SEA,F,34,784,34,3,784,6.9,17.4,.395,2.5,8.0,.316,4.3,9.3,.463,2.5,3.6,.692,1.9,10.1,2.7,1.6,0.5,2.4,4.8,18.8
Tammy Sutton-Brown,IND,C,33,541,33,32,541,4.9,11.5,.422,0.0,0.0,,4.9,11.5,.422,3.2,4.0,.800,2.8,9.2,2.4,2.4,2.7,2.2,3.9,12.9
Ketia Swanier,ATL,G,34,389,34,2,389,3.4,10.7,.317,0.7,3.9,.167,2.7,6.8,.404,2.5,3.4,.731,0.7,6.0,8.6,2.0,0.0,5.4,3.1,9.9
Carolyn Swords,CHI,C,30,334,30,9,334,8.2,14.4,.571,0.0,0.0,,8.2,14.4,.571,2.4,3.5,.682,7.1,15.2,1.3,1.7,2.2,3.0,9.0,18.9
April Sykes,LAS,G-F,30,259,30,0,259,6.4,16.9,.379,3.5,9.3,.375,2.9,7.6,.385,1.6,2.9,.533,1.6,6.6,3.7,1.8,0.8,3.1,5.3,17.9
Diana Taurasi,PHO,G,8,166,8,8,166,10.3,23.6,.436,5.2,13.0,.395,5.2,10.6,.486,8.2,9.1,.900,0.3,3.9,5.5,1.2,1.2,4.2,4.8,33.9
Zane Tamane,PHO,C,2,15,2,0,15,0.0,6.7,.000,0.0,0.0,,0.0,6.7,.000,0.0,0.0,,3.4,10.1,0.0,0.0,0.0,6.7,3.4,0.0
Jasmine Thomas,WAS,G,34,763,34,23,763,7.5,19.8,.379,2.5,6.8,.365,5.1,13.1,.387,2.0,3.0,.674,1.0,5.7,6.6,2.0,0.5,5.2,3.7,19.5
Krystal Thomas,PHO,C,29,771,29,25,771,5.0,10.2,.484,0.0,0.1,.000,5.0,10.2,.487,2.2,4.3,.500,6.1,15.2,1.8,0.3,1.7,4.3,6.0,12.1
Tina Thompson*,SEA,F,29,551,29,5,551,8.9,20.1,.442,4.0,9.4,.427,4.9,10.8,.455,3.4,4.1,.833,2.3,9.8,1.4,1.4,2.2,3.6,6.5,25.2
Erin Thorn,MIN,G,26,195,26,0,195,4.5,12.5,.362,3.2,9.0,.353,1.3,3.4,.385,1.6,1.6,1.000,1.3,6.4,6.4,1.1,0.0,3.4,0.8,13.8
Kristi Toliver,LAS,G,34,1071,34,33,1071,9.3,18.9,.491,3.0,7.1,.424,6.3,11.8,.532,6.5,7.2,.901,1.5,5.1,7.8,2.1,0.1,5.8,4.8,28.0
Courtney Vandersloot,CHI,G,34,906,34,27,906,6.9,17.0,.405,1.6,4.9,.333,5.3,12.1,.435,2.2,3.3,.649,0.4,4.1,9.2,2.6,0.4,6.5,5.2,17.6
Kia Vaughn,NYL,C,31,710,31,17,710,6.6,15.3,.430,0.0,0.0,,6.6,15.3,.430,1.6,2.4,.656,3.6,11.4,2.0,1.2,1.9,2.3,5.6,14.7
DeMya Walker,NYL,F,33,525,33,8,525,4.1,10.4,.394,0.0,0.0,,4.1,10.4,.394,1.6,2.7,.593,3.9,9.1,3.2,1.7,1.6,6.3,7.3,9.8
Avery Warley-Talbert,PHO,C,28,497,28,3,497,3.3,7.1,.471,0.0,0.0,,3.3,7.1,.471,2.0,3.4,.588,6.7,16.1,0.5,1.2,1.4,3.2,8.3,8.7
